stage,T,rho,outer_replications,inner_bootstraps,block_length,nominal_alpha,valid_replications,failures,rejection_rate,mcse,ci95_lower,ci95_upper
stage1,250,0.0,200,499,6,0.05,200,0,0.03,0.012062338081814818,0.006357817359642956,0.05364218264035704
stage1,250,0.3,200,499,6,0.05,200,0,0.06,0.016792855623746664,0.027086002977456537,0.09291399702254347
stage1,250,0.6,200,499,6,0.05,200,0,0.115,0.022558257911461158,0.07078581449353613,0.15921418550646388
stage1,250,0.8,200,499,6,0.05,200,0,0.19,0.027739863013360393,0.13562986849381364,0.24437013150618636
stage1,250,0.9,200,499,6,0.05,200,0,0.25,0.030618621784789725,0.18998750130181213,0.31001249869818787
stage1,500,0.0,200,499,7,0.05,200,0,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077
stage1,500,0.3,200,499,7,0.05,200,0,0.065,0.017432010784760317,0.03083325886186978,0.09916674113813023
stage1,500,0.6,200,499,7,0.05,200,0,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077
stage1,500,0.8,200,499,7,0.05,200,0,0.185,0.027456784225396828,0.1311847029182222,0.2388152970817778
stage1,500,0.9,200,499,7,0.05,200,0,0.255,0.030820042180373472,0.194592717326468,0.315407282673532
stage1,1000,0.0,200,499,10,0.05,200,0,0.07,0.01804161855266872,0.03463842763676932,0.1053615723632307
stage1,1000,0.3,200,499,10,0.05,200,0,0.045,0.014658615214269049,0.016269114180032664,0.07373088581996734
stage1,1000,0.6,200,499,10,0.05,200,0,0.1,0.021213203435596427,0.05842212126623101,0.141577878733769
stage1,1000,0.8,200,499,10,0.05,200,0,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077
stage1,1000,0.9,200,499,10,0.05,200,0,0.185,0.027456784225396828,0.1311847029182222,0.2388152970817778
