family,block1_rank,block2_rank,block3_rank,block4_rank,median_rank,mean_rank,full_screen_mean_qlike
RW,4.0,6.0,4.0,4.0,4.0,4.5,-31.270725513873614
EWMA,1.0,3.0,1.0,3.0,2.0,2.0,-31.776804256929157
HAR-DRD,3.0,2.0,3.0,1.0,2.5,2.25,-31.759430985603913
HARQ-DRD,2.0,1.0,2.0,2.0,2.0,1.75,-31.862062800706465
LW-linear,5.0,5.0,5.0,5.0,5.0,5.0,-30.235151560818647
LW-NL,6.0,4.0,6.0,6.0,6.0,5.5,-30.16220763900416
